algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ2,DTLZ,2,11,4009,0.004804272340283494,0.34675996909847645,2.0891509999999993
IVFNSGAII,DTLZ2,DTLZ,2,11,4010,0.0052030296051723355,0.34658461782814964,2.577849000000002
IVFNSGAII,DTLZ2,DTLZ,2,11,4011,0.005168149221576686,0.34647046995692254,1.958950999999999
IVFNSGAII,DTLZ2,DTLZ,2,11,4012,0.005184961226921972,0.34663329630158085,2.2670039999999996
IVFNSGAII,DTLZ2,DTLZ,2,11,4013,0.005222709254852512,0.34630075176364533,1.9214499999999997
IVFNSGAII,DTLZ2,DTLZ,2,11,4014,0.004987820919276175,0.346731579593857,2.500267000000003
IVFNSGAII,DTLZ2,DTLZ,2,11,4015,0.004973895675344245,0.3468329698037096,2.1132710000000006
IVFNSGAII,DTLZ2,DTLZ,2,11,4016,0.005196005241239128,0.3467725337675436,2.570068999999999
IVFNSGAII,DTLZ2,DTLZ,2,11,4017,0.005419135149263411,0.3464785407303721,2.2505410000000023
IVFNSGAII,DTLZ2,DTLZ,2,11,4018,0.00493843595257975,0.34658080958411225,2.5305449999999996
IVFNSGAII,DTLZ2,DTLZ,2,11,4019,0.005097608700393902,0.34653236082029015,1.9487700000000003
IVFNSGAII,DTLZ2,DTLZ,2,11,4020,0.004898208880397597,0.34655431158889416,2.0994840000000026
IVFNSGAII,DTLZ2,DTLZ,2,11,4021,0.004888077981653966,0.3467805270071114,2.100012000000001
IVFNSGAII,DTLZ2,DTLZ,2,11,4022,0.005400314833527285,0.34641641726448164,1.708422000000001
IVFNSGAII,DTLZ2,DTLZ,2,11,4023,0.005356954936831786,0.3464158210135551,1.8447350000000011
IVFNSGAII,DTLZ2,DTLZ,2,11,4024,0.0050627169978942205,0.3467738972091503,1.772040999999999
IVFNSGAII,DTLZ2,DTLZ,2,11,4025,0.004891066116605973,0.34672054463414403,2.5090929999999934
IVFNSGAII,DTLZ2,DTLZ,2,11,4026,0.005406913452164352,0.3461220834530182,2.122546999999996
IVFNSGAII,DTLZ2,DTLZ,2,11,4027,0.004946572628309746,0.3467744761351335,2.0042620000000033
IVFNSGAII,DTLZ2,DTLZ,2,11,4028,0.005323118238605884,0.3463791065897832,2.663793000000001
IVFNSGAII,DTLZ2,DTLZ,2,11,4029,0.00493710690076463,0.346558330749664,1.9882339999999987
IVFNSGAII,DTLZ2,DTLZ,2,11,4030,0.005255398102643563,0.3467487585090129,1.9415790000000015
IVFNSGAII,DTLZ2,DTLZ,3,12,4001,0.07163630979645745,0.5331610867479071,2.381024999999998
